 ,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height
1,100.155,198.316,24.585,198.316,24.585,38.109,192.727,19.091,10.909,11.364
2,90.857,159.309,25.074,159.309,25.074,36.392,154.091,19.545,10.227,10.909
3,89.463,175.127,25.124,175.127,25.124,36.934,169.773,19.545,10.682,10.909
4,92.407,120.617,25.343,120.617,25.343,36.580,115.455,19.773,10.455,11.364
5,93.750,139.987,25.540,139.987,25.540,40.548,133.864,20.000,11.364,11.136
6,103.874,82.848,26.296,82.848,26.296,40.437,77.045,20.455,11.136,11.818
7,97.211,103.466,26.371,103.466,26.371,38.376,98.182,20.682,10.682,11.591
8,99.380,62.127,26.674,62.127,26.674,40.061,55.455,20.909,12.045,11.364
9,98.399,43.325,27.367,43.325,27.367,41.002,37.727,21.591,11.364,11.364
10,105.114,23.831,27.743,23.831,27.743,40.038,17.955,21.818,11.591,12.045
11,102.531,198.426,45.907,198.426,45.907,38.054,192.500,40.455,11.591,11.136
12,100.258,160.003,46.529,160.003,46.529,38.165,153.864,40.909,11.591,11.364
13,100.000,142.426,46.848,142.426,46.848,38.807,136.591,41.136,11.364,11.364
14,99.277,83.678,46.861,83.678,46.861,37.710,77.955,41.591,11.364,11.136
15,100.052,178.815,47.091,178.815,47.091,39.505,172.273,41.818,12.273,11.136
16,84.762,121.928,47.013,121.928,47.013,35.327,116.364,42.045,10.682,10.227
17,99.174,62.824,47.958,62.824,47.958,37.921,56.818,42.273,11.364,11.591
18,91.942,102.104,47.924,102.104,47.924,36.424,96.136,42.500,11.136,11.136
19,104.700,43.601,48.410,43.601,48.410,43.729,37.273,42.955,12.045,11.591
20,91.374,24.780,48.608,24.780,48.608,39.960,18.636,43.409,11.818,10.909
21,106.043,121.763,66.389,121.763,66.389,39.340,115.000,60.682,12.273,11.591
22,84.556,141.524,65.774,141.524,65.774,41.135,136.136,60.682,10.227,10.682
23,106.250,159.616,66.570,159.616,66.570,40.249,153.409,60.909,12.045,11.364
24,99.174,82.004,66.705,82.004,66.705,37.655,75.909,61.136,11.364,11.364
25,94.628,99.836,66.534,99.836,66.534,37.788,93.636,61.136,11.364,11.136
26,103.874,63.541,67.502,63.541,67.502,38.353,57.955,61.591,11.136,11.818
27,109.452,45.282,67.561,45.282,67.561,41.833,37.727,61.818,13.409,11.818
28,97.624,198.086,67.409,198.086,67.409,37.467,192.273,61.818,11.136,11.136
29,93.750,25.089,67.859,25.089,67.859,37.366,19.318,62.500,11.136,11.136
30,97.831,179.297,67.716,179.297,67.716,37.733,173.409,62.500,11.364,10.909
31,102.789,158.775,86.575,158.775,86.575,38.830,153.182,80.682,10.909,11.818
32,93.079,140.590,86.717,140.590,86.717,36.424,134.545,81.136,11.136,11.136
33,105.217,101.037,87.289,101.037,87.289,38.697,95.227,81.364,11.136,12.045
34,93.130,121.249,86.574,121.249,86.574,36.557,115.455,81.364,10.909,10.909
35,101.653,46.065,87.311,46.065,87.311,39.661,40.000,81.591,11.591,11.591
36,109.039,82.384,87.426,82.384,87.426,39.418,76.591,81.591,11.364,12.045
37,79.390,63.609,86.853,63.609,86.853,33.476,58.182,81.818,10.000,10.000
38,94.525,25.199,87.626,25.199,87.626,36.957,19.091,82.273,11.364,10.682
39,107.335,179.377,87.789,179.377,87.789,41.966,172.045,82.273,13.409,11.136
40,95.868,199.231,87.653,199.231,87.653,39.152,193.182,82.273,11.364,10.909
41,102.376,81.108,107.267,81.108,107.267,38.165,75.000,101.364,11.591,11.591
42,95.610,100.571,106.619,100.571,106.619,36.691,94.773,101.364,11.136,10.909
43,101.291,159.396,107.029,159.396,107.029,37.655,153.636,101.364,11.364,11.364
